company_name,country,report_title,source_pdf_url,additional_source_urls,notes,source_type
SAP,Germany,SAP Integrated Report 2025,https://www.sap.com/docs/download/investors/2025/sap-2025-integrated-report.pdf,,Large (200+ pg) integrated report. No standalone GRI content index found on site; Report Data Hub shows TCFD/PAI disclosures instead. GRI index (if any) would be inside this PDF.,downloadable_pdf
Siemens,Germany,Siemens Sustainability Statement for fiscal 2025 (part of Combined Management Report),https://assets.new.siemens.com/siemens/assets/api/uuid:dea0c623-1ae9-4ef0-a69a-31d8eb7b39fb/sustainability-statement.pdf,,"FY2025 reporting now under CSRD/ESRS as part of Combined Management Report, not a standalone sustainability report.",downloadable_pdf
Siemens Healthineers,Germany,Siemens Healthineers Annual Report 2025 (incl. CSRD/ESRS sustainability reporting),https://corporate.webassets.siemens-healthineers.com/a364b935102e7df5/d7fdacda458e/siemens-healthineers-ir-annual-report-2025.pdf,,Sustainability content integrated into Annual Report 2025 under CSRD/ESRS.,downloadable_pdf
Volkswagen Group,Germany,Volkswagen Group ESRS Sustainability Report (Annual Report 2025),https://annualreport2025.volkswagen-group.com/_assets/downloads/esrs-sustainability-report-vw-ar25.pdf,,"Explicitly states it reports under CSRD/ESRS, GRI Standards, SBTi, UN Global Compact, and EU Taxonomy — best candidate among Germany batch for an actual GRI reference/index.",downloadable_pdf
Mercedes-Benz Group,Germany,Mercedes-Benz Group Annual Report 2025 (incl. Combined Management Report),https://group.mercedes-benz.com/documents/investors/reports/annual-report/mercedes-benz/mercedes-benz-annual-report-2025-incl-combined-management-report-mbg-ag.pdf,,Sustainability Statement integrated into Annual Report under CSRD/ESRS since FY2024; no standalone GRI index found.,downloadable_pdf
BMW Group,Germany,BMW Group Report 2025,https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2026/bericht/BMW-Group-Report-2025-en.pdf,,BMW published standalone GRI Content Index PDFs in 2022 and 2023 but no 2025 GRI index PDF was found — may have been discontinued in favor of ESRS index within this report.,downloadable_pdf
Allianz,Germany,Allianz Group Annual Report 2025,https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/investor-relations/en/results-reports/annual-report/ar-2025/en-allianz-group-annual-report-2025.pdf,,"Sustainability Statement (CSRD-compliant) is part of Annual Report 2025, not separate.",downloadable_pdf
Deutsche Bank,Germany,Deutsche Bank Annual Report 2025 (incl. Non-Financial Report),https://investor-relations.db.com/files/documents/other-presentations-and-events/2025/Annual-Report-2025.pdf,,Non-Financial Report is part of Annual Report 2025 under CSRD requirements.,downloadable_pdf
BASF,Germany,BASF Report 2025 - Sustainability Statement,https://report.basf.com/2025/en/_assets/downloads/sustainability-statement-basf-ar25.pdf,,BASF confirms an ESRS Index for 2025; historically had a separate GRI index (last confirmed 2020) but no 2025 GRI index found.,downloadable_pdf
Bayer,Germany,Bayer Impact Report 2025,https://www.bayer.com/sites/default/files/2026-03/bayer-impact-report-2025.pdf,,Bayer states its sustainability reporting has been GRI-aligned since 2000; 2025 Sustainability Statement (in Annual Report) uses ESRS.,downloadable_pdf
Adidas,Germany,adidas Annual Report 2025,https://report.adidas-group.com/2025/en/_assets/downloads/annual-report-adidas-ar25.pdf,,adidas applied GRI guidelines only through its 2023 annual report and has since transitioned to ESRS — likely no GRI index in 2025.,downloadable_pdf
Puma,Germany,PUMA Annual Report 2025 (incl. Business & Sustainability Report),https://about.puma.com/sites/default/files/financial-report/2025/puma-gb-2025-gesamt-en-final.pdf,,Puma has historically published a GRI Content Index — good candidate.,downloadable_pdf
Vonovia,Germany,Vonovia SE Annual Report 2025,https://report.vonovia.com/2025/q4/app/uploads/Vonovia-SE_Annual-Report-2025.pdf,,"Vonovia states its sustainability reporting follows GRI Standards, but current Non-financial Group Declaration is ESRS-compliant.",downloadable_pdf
Infineon Technologies,Germany,Sustainability at Infineon (supplementing Annual Report 2025),https://www.infineon.com/assets/row/public/documents/corporate/company/sustainability/sustainability-at-infineon.pdf,,Infineon explicitly states sections not covered by ESRS are reported with reference to GRI principles/standards.,downloadable_pdf
Schneider Electric,France,Schneider Electric 2025 Universal Registration Document,https://echanges.dila.gouv.fr/OPENDATA/AMF/ECO/2026/03/FCECO081372_20260327.pdf,,Official AMF regulatory filing copy of the 2025 URD.,downloadable_pdf
LVMH,France,LVMH 2025 Social and Environmental Responsibility Report,https://www.lvmh.com/en/press/key-documents,,Could not find a direct PDF URL via search - landing page only.,downloadable_pdf
L'Oreal,France,L'Oreal 2025 Universal Registration Document + GRI Standards table,https://www.loreal-finance.com/eng/2025-universal-registration-document/,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/articles-media/commitments/external-recognitions-rework/loral-sustainability-reporting--gri-content-index-2023.pdf;https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/3-commitments/2026/esg-performance/loreal-2025-annual-report-en.pdf,L'Oreal publishes GRI content as a SEPARATE standalone table. Only found a confirmed 2023 English GRI Content Index (2nd URL) - no 2025 English version located; also added a 2025 ESG performance essentials doc (3rd URL) as a fallback.,downloadable_pdf
TotalEnergies,France,TotalEnergies GRI Content Index 2025 (GRI Standards 2021),https://totalenergies.com/sites/g/files/nytnzq121/files/documents/totalenergies_index-gri-2025_2025.pdf,,"Strong candidate - TotalEnergies maintains a dedicated, regularly updated standalone GRI index PDF, reports at GRI 'Core' level.",downloadable_pdf
Sanofi,France,Sanofi 2025 GRI Content Index + Universal Registration Document,https://www.sanofi.com/assets/countries/india/docs/Investors/annual-reports/2005/Sanofi-2025_GRI-Index-03-04-26.pdf,https://www.sanofi.com/assets/dotcom/content-app/publications/annual-report-on-form-20-f/2025-sanofi-urd.pdf,"Direct standalone GRI Content Index PDF found - best candidate. Added the 2025 URD as second doc for cross-reference (Chapter 3, Declaration of Extra-financial Performance).",downloadable_pdf
BNP Paribas,France,BNP Paribas Universal Registration Document & Annual Financial Report 2025,https://cdn-group.bnpparibas.com/uploads/file/universal-registration-document-annual-financial-report-2025.pdf,,No explicit GRI index confirmed via search; sustainability content is inside the URD under CSRD/ESRS framework.,downloadable_pdf
